Nº,Código,Nome da Estação,UF,Latitude,Longitude,Atitude,Inicio Operação,Fim Operação,Situação
1,82989,AGUA BRANCA,AL,-9.26,-37.94,603.42,5/5/1928,,Operante
2,83249,ALAGOINHAS,BA,-12.15,-38.43,129.78,1/1/1931,7/15/2021,Fechada
3,82353,ALTAMIRA,PA,-3.21,-52.21,101.51,4/24/1927,7/25/2021,Fechada
4,83007,ALTO DA BOA VISTA,RJ,-22.97,-43.28,347.10,6/1/1966,,Operante
5,82970,ALTO PARNAIBA,MA,-9.11,-45.95,285.05,8/21/1976,7/25/2021,Fechada
6,83788,ANGRA DOS REIS,RJ,-23.02,-44.33,17.04,7/1/1913,5/1/2017,Desativada
7,82590,APODI,RN,-5.63,-37.82,131.37,12/18/1962,,Operante
8,83096,ARACAJU,SE,-10.95,-37.05,3.68,3/1/1910,1/1/2021,Fechada
9,83442,ARACUAI,MG,-16.85,-42.06,317.67,9/6/1918,,Operante
10,83368,ARAGARCAS,GO,-15.90,-52.25,327.03,7/19/1970,,Operante
11,82659,ARAGUAINA,TO,-7.10,-48.20,231.85,8/21/1984,,Operante
12,83579,ARAXA,MG,-19.61,-46.95,1018.28,9/7/1916,,Operante
13,82890,ARCOVERDE,PE,-8.43,-37.06,683.91,2/1/1973,,Operante
14,82696,AREIA,PB,-6.98,-35.72,571.75,1/1/1929,,Operante
15,83384,ARINOS,MG,-15.92,-46.11,523.00,4/5/1976,,Operante
16,83049,AVELAR (P.DO ALFERES),RJ,-22.35,-43.42,507.00,4/1/1971,,Operante
17,82460,BACABAL,MA,-4.22,-44.78,26.60,8/15/1976,,Operante
18,83980,BAGE,RS,-31.31,-54.12,245.66,1/1/1912,,Operante
19,82768,BALSAS,MA,-7.53,-46.05,263.48,8/14/1976,,Operante
20,83582,BAMBUI,MG,-20.03,-46.01,684.43,8/26/1926,4/5/2018,Fechada
21,83689,BARBACENA,MG,-21.24,-43.78,1128.08,6/9/1941,5/31/2018,Desativada
22,82784,BARBALHA,CE,-7.30,-39.27,409.41,1/1/1948,,Operante
23,82113,BARCELOS,AM,-0.97,-62.93,30.65,8/1/1924,,Operante
24,83179,BARRA,BA,-11.08,-43.14,407.50,3/3/1925,,Operante
25,82571,BARRA DO CORDA,MA,-5.51,-45.24,154.17,1/14/1912,,Operante
26,83236,BARREIRAS,BA,-12.16,-45.01,447.51,1/1/1924,,Operante
27,82191,BELEM,PA,-1.44,-48.44,7.13,11/1/1923,,Operante
28,83587,BELO HORIZONTE,MG,-19.93,-43.95,915.47,3/3/1910,,Operante
29,82246,BELTERRA,PA,-2.64,-54.94,164.30,8/1/1971,,Operante
30,82410,BENJAMIN CONSTANT,AM,-4.38,-70.03,78.41,1/1/1924,,Operante
31,83557,BOA ESPERANCA,ES,-18.54,-40.27,100.00,10/23/1985,,Operante
32,82024,BOA VISTA,RR,2.83,-60.66,84.18,1/1/1923,,Operante
33,83533,BOM DESPACHO,MG,-19.72,-45.37,695.00,1/1/1981,2/1/2019,Fechada
34,83919,BOM JESUS,RS,-28.67,-50.44,1047.50,5/1/1948,,Operante
35,83288,BOM JESUS DA LAPA,BA,-13.25,-43.41,447.75,11/1/1941,,Operante
36,82975,BOM JESUS DO PIAUI,PI,-9.07,-44.37,330.60,4/19/1971,,Operante
37,83377,BRASILIA,DF,-15.79,-47.93,1161.42,9/12/1961,,Operante
38,82188,BREVES,PA,-1.68,-50.48,9.80,9/1/1970,,Operante
39,83589,C. DO MATO DENTRO,MG,-19.02,-43.43,663.02,6/30/1925,,Operante
40,82886,CABROBO,PE,-8.50,-39.32,342.78,10/17/1927,,Operante
41,83339,CAETITE,BA,-14.07,-42.49,876.29,1/1/1907,8/1/2019,Fechada
42,83681,CALDAS(P. DE CALDAS),MG,-21.92,-46.38,1077.08,11/10/1988,9/17/2015,Desativada
43,82474,CALDEIRAO,PI,-4.33,-41.72,183.51,2/1/1972,2/27/2015,Desativada
44,83946,CAMBARA DO SUL,RS,-29.05,-50.15,1015.97,11/1/1976,7/25/2021,Fechada
45,82263,CAMETA,PA,-2.24,-49.50,9.93,5/1/1970,,Operante
46,82795,CAMPINA GRANDE,PB,-7.23,-35.90,546.27,1/1/1911,,Operante
47,83783,CAMPO MOURAO,PR,-24.09,-52.39,602.17,4/2/1958,12/22/2016,Fechada
48,83698,CAMPOS,RJ,-21.74,-41.33,11.20,6/17/1911,,Operante
49,83714,CAMPOS DO JORDAO,SP,-22.75,-45.60,1662.56,1/1/1939,3/20/2019,Fechada
50,83887,CAMPOS NOVOS,SC,-27.38,-51.22,962.86,7/1/1923,8/1/2017,Fechada
51,82777,CAMPOS SALES,CE,-7.08,-40.39,586.06,6/1/1960,4/1/2019,Fechada
52,83270,CANARANA,MT,-13.47,-52.27,430.00,8/4/1987,,Operante
53,83398,CANAVIEIRAS,BA,-15.67,-38.96,4.71,1/1/1930,7/31/2021,Fechada
54,83639,CAPARAO,MG,-20.53,-41.91,836.25,11/17/1972,,Operante
55,83514,CAPINOPOLIS,MG,-18.73,-49.56,608.98,8/13/1969,8/14/2018,Fechada
56,82042,CARACARAI,RR,1.83,-61.12,51.99,1/11/1970,,Operante
57,82976,CARACOL,PI,-9.29,-43.32,515.30,10/3/1975,,Operante
58,83592,CARATINGA,MG,-19.74,-42.14,609.56,3/15/1924,,Operante
59,83498,CARAVELAS,BA,-17.74,-39.26,6.05,5/1/1930,,Operante
60,83485,CARBONITA,MG,-17.53,-43.01,765.37,1/1/1981,,Operante
61,83408,CARINHANHA,BA,-14.30,-43.77,455.25,12/1/1927,11/1/2020,Fechada
62,83807,CARMO,RJ,-21.94,-42.61,342.19,12/27/1913,4/1/2019,Desativada
63,82765,CAROLINA,MA,-7.34,-47.46,182.94,1/1/1913,,Operante
64,83813,CASTRO,PR,-24.79,-50.00,994.68,11/1/1922,7/25/2021,Fechada
65,83526,CATALAO,GO,-18.17,-47.96,857.98,1/1/1913,,Operante
66,83676,CATANDUVA,SP,-21.12,-48.95,570.34,8/1/1936,,Operante
67,82476,CAXIAS,MA,-4.87,-43.36,96.67,3/15/1976,,Operante
68,83942,CAXIAS DO SUL,RS,-29.20,-51.19,750.16,4/12/1912,,Operante
69,82596,CEARA MIRIM,RN,-5.65,-35.43,62.20,6/1/1967,,Operante
70,82382,CHAPADINHA,MA,-3.74,-43.35,104.00,8/28/1976,,Operante
71,83883,CHAPECO,SC,-27.14,-52.66,654.00,5/10/1973,1/31/2017,Desativada
72,83192,CIPO,BA,-11.10,-38.52,143.53,1/1/1935,,Operante
73,82425,COARI,AM,-4.09,-63.15,34.18,1/1/1926,2/1/2016,Desativada
74,82326,CODAJAS,AM,-3.84,-62.06,30.31,8/19/1974,,Operante
75,82676,COLINAS,MA,-6.03,-44.23,175.56,5/19/1976,,Operante
76,82861,CONCEICAO DO ARAGUAIA,PA,-8.26,-49.26,179.02,3/19/1920,,Operante
77,83718,CORDEIRO,RJ,-22.02,-42.36,505.90,7/16/1971,,Operante
78,83286,CORRENTINA,BA,-13.33,-44.62,551.69,8/11/1975,,Operante
79,82583,CRATEUS,CE,-5.19,-40.67,299.12,12/1/1962,4/30/2018,Desativada
80,83912,CRUZ ALTA,RS,-28.63,-53.61,475.52,2/2/1912,,Operante
81,83222,CRUZ DAS ALMAS,BA,-12.68,-39.09,219.69,1/1/1958,,Operante
82,82704,CRUZEIRO DO SUL,AC,-7.61,-72.68,214.19,1/1/1928,2/1/2016,Desativada
83,82693,CRUZETA,RN,-6.43,-36.79,226.33,1/1/1930,,Operante
84,83361,CUIABA,MT,-15.62,-56.11,157.70,1/1/1911,,Operante
85,83842,CURITIBA,PR,-25.45,-49.23,923.50,1/1/1911,7/25/2021,Fechada
86,83536,CURVELO,MG,-18.75,-44.45,668.26,9/3/1912,,Operante
87,83538,DIAMANTINA,MG,-18.24,-43.62,1318.05,4/13/1918,3/1/2020,Fechada
88,83309,DIAMANTINO,MT,-14.41,-56.45,274.02,1/1/1932,,Operante
89,83635,DIVINOPOLIS,MG,-20.17,-44.87,787.42,10/11/1995,,Operante
90,83546,ECOPORANGA,ES,-18.37,-40.84,253.95,9/1/1976,2/28/2015,Desativada
91,82610,EIRUNEPE,AM,-6.66,-69.87,123.42,1/1/1928,,Operante
92,83964,ENCRUZILHADA DO SUL,RS,-30.54,-52.52,427.75,5/1/1913,7/25/2021,Fechada
93,82298,ESPERANTINA,PI,-3.90,-42.26,88.00,3/17/1974,11/20/2018,Desativada
94,83338,ESPINOSA,MG,-14.91,-42.81,565.52,3/1/1974,3/15/2019,Desativada
95,83221,FEIRA DE SANTANA,BA,-12.20,-38.97,229.52,1/1/1939,,Operante
96,82691,FLORANIA,RN,-6.12,-36.81,324.45,12/19/1962,6/1/2018,Desativada
97,83581,FLORESTAL,MG,-19.89,-44.42,753.51,4/9/1960,7/5/2018,Desativada
98,82678,FLORIANO,PI,-6.76,-43.00,126.60,1/21/1968,,Operante
99,83897,FLORIANOPOLIS,SC,-27.60,-48.62,4.64,12/1/1921,3/2/2020,Fechada
100,82212,FONTE BOA,AM,-2.52,-66.10,59.34,1/1/1925,,Operante
101,83379,FORMOSA,GO,-15.55,-47.34,938.68,1/1/1925,,Operante
102,83334,FORMOSO,MG,-14.95,-46.24,854.60,4/3/1976,,Operante
103,82397,FORTALEZA,CE,-3.82,-38.54,29.89,10/27/1919,,Operante
104,83630,FRANCA,SP,-20.58,-47.38,1003.55,1/1/1911,,Operante
105,82893,GARANHUNS,PE,-8.91,-36.49,827.78,2/1/1913,,Operante
106,83423,GOIANIA,GO,-16.67,-49.26,748.53,7/11/1937,,Operante
107,83374,GOIAS,GO,-15.94,-50.14,508.68,4/20/1946,10/3/2017,Desativada
108,82487,GUARAMIRANGA,CE,-4.26,-38.93,865.44,2/1/1911,8/30/2019,Fechada
109,83446,GUARATINGA,BA,-16.58,-39.78,197.88,9/10/1973,,Operante
110,82067,IAUARETE,AM,0.60,-69.19,107.73,7/16/1943,1/31/2020,Fechada
111,83632,IBIRITE,MG,-20.02,-44.08,822.08,4/6/1959,,Operante
112,83114,IGUABA GRANDE,RJ,-22.85,-42.19,5.60,1/1/1970,,Operante
113,82686,IGUATU,CE,-6.40,-39.27,221.58,1/1/1911,,Operante
114,82564,IMPERATRIZ,MA,-5.54,-47.48,126.33,1/1/1913,,Operante
115,83872,INDAIAL,SC,-26.91,-49.27,72.28,10/14/1970,3/31/2018,Fechada
116,83522,IPAMERI,GO,-17.72,-48.17,778.14,2/10/1977,,Operante
117,83881,IRAI,RS,-27.19,-53.25,255.39,6/1/1935,8/1/2018,Desativada
118,83836,IRATI,PR,-25.50,-50.64,881.69,9/24/1966,,Operante
119,83182,IRECE,BA,-11.31,-41.86,747.22,12/1/1970,7/31/2021,Fechada
120,83195,ITABAIANINHA,SE,-11.27,-37.79,205.59,8/6/1923,,Operante
121,83244,ITABERABA,BA,-12.52,-40.30,250.11,8/21/1931,3/1/2019,Fechada
122,82336,ITACOATIARA,AM,-3.14,-58.44,19.16,1/1/1927,,Operante
123,82445,ITAITUBA,PA,-4.28,-55.99,24.50,1/1/1928,,Operante
124,83488,ITAMARANDIBA,MG,-17.86,-42.85,919.37,3/27/1925,,Operante
125,83695,ITAPERUNA,RJ,-21.20,-41.91,123.60,1/1/1922,,Operante
126,83295,ITIRUCU (JAGUAQUARA),BA,-13.53,-40.12,757.53,8/1/1941,1/31/2016,Desativada
127,83292,ITUACU,BA,-13.81,-41.30,534.44,2/18/1973,7/31/2021,Fechada
128,83521,ITUIUTABA,MG,-18.95,-49.53,540.09,11/16/1979,10/26/2015,Desativada
129,83811,IVAI,PR,-25.01,-50.85,808.00,1/1/1912,7/25/2021,Operante
130,83186,JACOBINA,BA,-11.17,-40.53,486.37,12/1/1912,,Operante
131,82493,JAGUARUANA,CE,-4.85,-37.78,16.57,1/1/1914,5/1/2019,Fechada
132,83395,JANAUBA,MG,-15.80,-43.30,534.61,3/15/1975,8/31/2016,Desativada
133,83386,JANUARIA,MG,-15.45,-44.37,480.00,6/19/1912,,Operante
134,83464,JATAI,GO,-17.92,-51.72,669.84,11/24/1978,,Operante
135,83591,JOAO MONLEVADE,MG,-19.82,-43.14,859.84,5/11/1960,6/1/2019,Fechada
136,82798,JOAO PESSOA,PB,-7.10,-34.85,9.67,1/1/1912,,Operante
137,83481,JOAO PINHEIRO,MG,-17.74,-46.18,759.62,12/9/1925,2/1/2018,Fechada
138,83692,JUIZ DE FORA,MG,-21.77,-43.36,936.90,1/1/1910,,Operante
139,83452,JURAMENTO,MG,-16.78,-43.67,655.59,11/14/1986,,Operante
140,82723,LABREA,AM,-7.26,-64.79,62.23,11/30/1972,,Operante
141,83891,LAGES,SC,-27.80,-50.34,952.73,1/1/1914,4/3/2017,Desativada
142,83916,LAGOA VERMELHA,RS,-28.22,-51.51,833.73,6/1/1914,,Operante
143,83687,LAVRAS,MG,-21.23,-44.98,916.19,2/18/1911,,Operante
144,83242,LENCOIS,BA,-12.56,-41.39,438.09,9/1/1931,,Operante
145,83766,LONDRINA,PR,-23.33,-51.14,566.00,12/11/1953,,Operante
146,82296,LUZILANDIA(LAG.DO PIAUI),PI,-3.47,-42.27,44.13,5/18/1972,,Operante
147,82098,MACAPA,AP,-0.05,-51.11,12.80,1/1/1925,,Operante
148,82594,MACAU,RN,-5.15,-36.57,17.34,11/18/1908,8/1/2018,Desativada
149,82994,MACEIO,AL,-9.55,-35.77,84.12,1/1/1909,,Fechada
150,83683,MACHADO,MG,-21.68,-45.94,892.44,9/1/1961,,Operante
151,82331,MANAUS,AM,-3.10,-60.02,48.86,1/1/1910,,Operante
152,82533,MANICORE,AM,-5.82,-61.29,40.10,1/1/1928,,Operante
153,82562,MARABA,PA,-5.37,-49.13,101.66,1/1/1952,7/25/2021,Fechada
154,83015,MARIA DA FE,MG,-22.31,-45.37,1281.36,11/12/1975,8/31/2016,Fechada
155,83089,MARICA,RJ,-22.92,-42.83,4.18,11/1/1986,6/1/2018,Desativada
156,83596,MARILANDIA (COLATINA),ES,-19.41,-40.54,93.37,4/1/1976,5/31/2016,Fechada
157,83767,MARINGA,PR,-23.40,-51.92,542.00,12/1/1953,,Operante
158,83214,MATUPA,MT,-10.19,-54.95,272.00,12/15/1986,3/15/2021,Fechada
159,82181,MONTE ALEGRE,PA,-2.00,-54.08,100.52,3/9/1974,,Operante
160,83388,MONTE AZUL,MG,-15.16,-42.87,623.22,3/1/1974,2/1/2016,Desativada
161,83090,MONTE SANTO,BA,-10.44,-39.33,465.84,5/15/1913,5/1/2020,Fechada
162,82792,MONTEIRO,PB,-7.89,-37.12,606.41,1/14/1940,,Operante
163,83437,MONTES CLAROS,MG,-16.69,-43.84,645.87,1/1/1912,,Operante
164,82588,MORADA NOVA,CE,-5.14,-38.36,45.02,10/1/1962,,Operante
165,83184,MORRO DO CHAPEU,BA,-11.55,-41.15,1001.66,1/13/1913,,Operante
166,82684,MORRO DOS CAVALOS,PI,-7.85,-41.90,242.00,5/1/1970,2/25/2015,Fechada
167,83013,MUNIZ FREIRE,ES,-20.47,-41.41,530.00,11/1/1976,,Operante
168,82598,NATAL,RN,-5.84,-35.21,47.68,1/1/1911,,Operante
169,83513,NHUMIRIM (NHECOLANDIA),MS,-18.99,-56.62,102.27,7/1/1984,12/1/2019,Fechada
170,83319,NOVA XAV.(XAVANTINA),MT,-14.70,-52.35,305.33,8/5/1987,,Operante
171,82178,OBIDOS,PA,-1.91,-55.52,54.72,1/1/1927,7/25/2021,Fechada
172,83637,OLIVEIRA,MG,-20.70,-44.82,991.23,7/5/1913,10/19/2017,Desativada
173,82753,OURICURI,PE,-7.88,-40.09,462.01,9/16/1975,,Operante
174,83364,PADRE RICARDO REMETTER,MT,-15.78,-56.07,140.00,1/1/1986,,Operante
175,83033,PALMAS,TO,-10.19,-48.30,291.68,10/8/1993,,Operante
176,82992,PALMEIRA DOS INDIOS,AL,-9.42,-36.62,277.98,1/1/1928,,Operante
177,82990,PAO DE ACUCAR,AL,-9.75,-37.43,20.86,3/14/1927,,Operante
178,83479,PARACATU,MG,-17.24,-46.88,711.41,5/13/1918,,Operante
179,83844,PARANAGUA,PR,-25.54,-48.53,4.50,1/1/1911,,Operante
180,83565,PARANAIBA,MS,-19.66,-51.19,429.62,7/7/1971,,Operante
181,82240,PARINTINS,AM,-2.63,-56.73,29.00,1/1/1912,2/1/2016,Desativada
182,82287,PARNAIBA,PI,-3.09,-41.78,52.11,11/16/1970,10/1/2018,Desativada
183,83737,PASSA QUATRO,MG,-22.38,-44.97,919.55,7/29/1912,,Operante
184,83914,PASSO FUNDO,RS,-28.23,-52.41,684.05,8/1/1912,,Operante
185,82791,PATOS,PB,-7.05,-37.27,251.65,10/17/1975,,Operante
186,83531,PATOS DE MINAS,MG,-18.52,-46.44,947.68,10/23/1947,5/31/2018,Fechada
187,82882,PAULISTANA,PI,-8.13,-41.14,376.00,9/22/1975,,Operante
188,82986,PAULO AFONSO,BA,-9.38,-38.23,255.04,2/1/1951,5/1/2015,Desativada
189,83393,PEDRA AZUL,MG,-16.01,-41.28,647.97,10/1/1918,,Operante
190,82863,PEDRO AFONSO,TO,-8.97,-48.18,189.53,3/4/1977,,Operante
191,83228,PEIXE,TO,-12.02,-48.55,252.24,5/1/1975,,Operante
192,83985,PELOTAS,RS,-31.78,-52.42,13.00,1/1/1926,,Operante
193,82892,PESQUEIRA,PE,-8.37,-36.71,643.38,9/1/1911,11/19/2015,Desativada
194,82983,PETROLINA,PE,-9.39,-40.52,372.54,1/1/1941,,Operante
195,82780,PICOS,PI,-7.08,-41.44,210.07,11/1/1923,,Operante
196,83483,PIRAPORA,MG,-17.35,-44.92,509.52,12/23/1912,10/2/2019,Fechada
197,83376,PIRENOPOLIS,GO,-15.85,-48.97,766.92,2/17/1977,,Operante
198,82480,PIRIPIRI,PI,-4.28,-41.79,157.89,3/9/1976,,Operante
199,83570,POMPEU,MG,-19.23,-45.00,692.21,11/1/1972,12/31/2015,Desativada
200,83702,PONTA PORA,MS,-22.55,-55.72,668.00,11/24/1941,2/1/2016,Desativada
201,83967,PORTO ALEGRE,RS,-30.05,-51.17,41.18,12/9/1909,,Operante
202,82184,PORTO DE MOZ,PA,-1.75,-52.24,13.08,4/23/1928,,Operante
203,82996,PORTO DE PEDRAS,AL,-9.16,-35.30,42.21,3/14/1927,,Operante
204,83064,PORTO NACIONAL,TO,-10.71,-48.41,243.28,1/1/1915,,Operante
205,83332,POSSE,GO,-14.09,-46.37,830.35,8/4/1975,,Operante
206,83358,POXORÉU,MT,-15.83,-54.40,374.35,9/18/1978,,Operante
207,83097,PROPRIA,SE,-10.21,-36.84,18.46,5/10/1925,,Operante
208,82586,QUIXERAMOBIM,CE,-5.17,-39.29,227.33,1896/01/01,,Operante
209,83801,REALENGO,RJ,-22.87,-43.44,42.00,3/1/1971,,Operante
210,82900,RECIFE (CURADO),PE,-8.06,-34.96,11.30,7/7/1961,,Operante
211,82979,REMANSO,BA,-9.63,-42.08,397.39,10/1/1927,7/31/2021,Fechada
212,83738,RESENDE,RJ,-22.45,-44.44,439.90,5/22/1944,,Operante
213,83048,RIO BONITO,RJ,-22.71,-42.65,62.00,2/1/1977,5/6/2019,Desativada
214,82915,RIO BRANCO,AC,-9.96,-67.87,160.71,1/1/1929,,Operante
215,83743,RIO DE JANEIRO,RJ,-22.90,-43.18,37.50,1/1/1917,4/5/2017,Desativada
216,83995,RIO GRANDE,RS,-32.08,-52.17,4.89,1/1/1912,1/19/2015,Desativada
217,83470,RIO VERDE,GO,-17.79,-50.96,780.04,1/1/1971,,Operante
218,83373,RONCADOR,DF,-15.95,-47.88,1104.94,5/28/1979,10/1/2017,Fechada
219,83410,RONDONOPOLIS,MT,-16.46,-54.58,289.88,1/1/1992,1/30/2016,Desativada
220,83441,SALINAS,MG,-16.15,-42.28,476.07,3/5/1925,,Operante
221,83229,SALVADOR (ONDINA),BA,-13.01,-38.51,47.35,1/1/1903,,Operante
222,83789,SANTA CRUZ,RJ,-22.92,-43.69,63.00,1/1/1922,12/19/2019,Desativada
223,83936,SANTA MARIA,RS,-29.72,-53.72,103.10,1/1/1912,,Operante
224,83696,SANTA MARIA MADALENA,RJ,-21.97,-42.00,640.00,12/21/1921,,Operante
225,83997,SANTA VITORIA DO PALMAR,RS,-33.53,-53.35,24.01,10/1/1912,,Operante
226,83805,SANTO ANTONIO DE PADUA,RJ,-21.54,-42.16,95.00,4/1/1924,,Operante
227,83726,SAO CARLOS,SP,-21.98,-47.88,859.77,9/24/1939,,Operante
228,82668,SAO FELIX DO XINGU,PA,-6.63,-51.98,195.98,7/7/1972,7/25/2021,Fechada
229,82106,SAO GABRIEL DA CACHOEIRA(UAUPES),AM,-0.13,-67.06,79.71,4/1/1920,,Operante
230,82689,SAO GONCALO,PB,-6.84,-38.31,237.04,10/8/1938,,Operante
231,82879,SAO JOAO DO PIAUI,PI,-8.37,-42.25,237.02,9/30/1975,,Operante
232,83920,SAO JOAQUIM,SC,-28.28,-49.93,1400.07,8/1/1954,5/31/2017,Desativada
233,83267,SAO JOSE DO RIO CLARO,MT,-13.45,-56.68,339.59,3/14/1990,2/1/2016,Desativada
234,83736,SAO LOURENCO,MG,-22.13,-45.04,930.65,2/4/1922,,Operante
235,82280,SAO LUIS,MA,-2.53,-44.21,32.58,11/18/1924,,Operante
236,83907,SAO LUIZ GONZAGA,RS,-28.42,-54.96,245.49,4/1/1912,,Operante
237,83550,SAO MATEUS,ES,-18.71,-39.85,25.00,6/26/1969,7/23/2021,Fechada
238,83004,SAO PAULO (IAG),SP,-23.65,-46.62,800.00,1/1/1933,,Operante
239,83781,SAO PAULO(MIR.de SANTANA),SP,-23.50,-46.62,785.16,12/1/1945,,Operante
240,83669,SAO SIMAO,SP,-21.46,-47.58,620.02,1/1/1920,,Operante
241,83363,SAO VICENTE,MT,-15.82,-55.42,786.99,11/8/1985,,Operante
242,82690,SERIDO (CAICO),RN,-6.47,-37.09,171.26,3/14/1995,,Operante
243,83190,SERRINHA,BA,-11.67,-39.00,362.39,2/1/1904,,Operante
244,83586,SETE LAGOAS,MG,-19.48,-44.17,753.68,5/3/1926,7/21/2016,Desativada
245,82392,SOBRAL,CE,-3.75,-40.35,91.80,7/1/1919,8/31/2020,Fechada
246,83851,SOROCABA,SP,-23.48,-47.43,597.58,1/1/1928,,Operante
247,82141,SOURE,PA,-0.73,-48.52,12.60,8/21/1928,7/25/2021,Fechada
248,83076,STa. R. DE CASSIA (IBIPETUBA),BA,-11.00,-44.52,450.01,12/13/1911,,Operante
249,82797,SURUBIM,PE,-7.84,-35.80,421.44,10/1/1929,,Operante
250,83235,TAGUATINGA,TO,-12.40,-46.44,604.88,12/22/1915,,Operante
251,82807,TARAUACA,AC,-8.16,-70.77,172.27,6/6/1966,,Operante
252,82683,TAUA,CE,-6.01,-40.30,401.89,2/1/1962,,Operante
253,82317,TEFE,AM,-3.38,-64.73,56.00,1/4/1929,,Operante
254,83492,TEOFILO OTONI,MG,-17.86,-41.51,349.11,11/1/1910,3/12/2019,Desativada
255,82578,TERESINA,PI,-5.03,-42.80,75.73,3/21/1911,,Operante
256,83744,TERESOPOLIS,RJ,-22.42,-42.97,874.20,1/1/1913,,Operante
257,83948,TORRES,RS,-29.35,-49.72,4.66,1/1/1913,4/27/2021,Fechada
258,82145,TRACUATEUA,PA,-1.06,-46.87,24.68,9/8/1972,,Operante
259,82789,TRIUNFO,PE,-7.83,-38.12,1105.00,6/1/1953,3/29/2018,Fechada
260,82361,TUCURUI,PA,-3.76,-49.67,27.83,1/1/1970,,Operante
261,82198,TURIACU,MA,-1.66,-45.37,34.48,7/29/1976,,Operante
262,83577,UBERABA,MG,-19.74,-47.95,753.41,10/11/1913,8/31/2018,Fechada
263,83428,UNAI,MG,-16.37,-46.89,595.59,4/7/1976,,Operante
264,83927,URUGUAIANA,RS,-29.84,-57.08,74.41,2/1/1912,4/1/2019,Fechada
265,83923,URUSSANGA,SC,-28.53,-49.32,40.50,1/1/1924,9/30/2017,Desativada
266,82870,VALE DO GURGUEIA (CRISTIANO CASTRO),PI,-8.44,-43.87,261.26,8/1/1978,7/1/2018,Fechada
267,83642,VICOSA,MG,-20.76,-42.86,697.53,10/1/1919,3/8/2018,Fechada
268,83648,VITORIA,ES,-20.32,-40.32,36.20,11/20/1923,,Operante
269,83344,VITORIA DA CONQUISTA,BA,-14.89,-40.80,879.47,1/1/1936,,Operante
270,83623,VOTUPORANGA,SP,-20.44,-49.98,510.41,7/5/1976,,Operante
271,82376,ZE DOCA,MA,-3.27,-45.65,46.71,8/25/1970,,Operante
